GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16398555,8.9440035E10,2.50844987E11,3.64907961E12,1.87221456E8,7.8392448E7,6.844037,1.8263936
16403899,8.0375407E10,1.37933193E11,3.64524051E12,1.6176872E8,9.0053192E7,6.911118,0.06700006
16409437,5.2352647E10,2.81182241E11,3.80929992E12,1.13836528E8,7.502224E7,7.153734,0.54760224
16413980,3.6252905E10,9.5851872E10,1.84895183E12,5.0833184E7,3.3393586E7,7.0553417,1.9303133
16416252,6.3765811E10,2.77035844E11,3.35451495E12,1.24563032E8,7.7140512E7,6.9731193,3.2497563
16420095,9.8094186E10,2.28703486E11,3.69415186E12,1.98332E8,9.2474584E7,6.5821414,2.0819583
16424325,5.5984415E10,1.8032119E11,4.36537891E12,1.31310824E8,8.1034664E7,7.4419518,0.12672599
16429682,6.7982737E10,2.04485018E11,3.83308189E12,1.87511216E8,1.13064432E8,8.551607,0.3517331
16433030,8.1700389E10,1.40943049E11,3.69334708E12,1.9931872E8,1.452372E8,8.2955,0.09598005
16437978,1.04223269E11,3.44153293E11,3.52756197E12,1.18104744E8,4.7805692E7,6.887187,4.5571103
16442650,7.1257752E10,2.02931421E11,3.67753455E12,1.3656896E8,8.7119256E7,7.8450212,2.3933492
16447238,8.5893923E10,3.90533251E11,3.49192297E12,1.20617232E8,3.8847984E7,5.911697,2.1104932
16451642,2.40817766E10,2.6539121E11,3.94622324E12,1.12629368E8,5.6244508E7,8.605411,0.21899843
16454620,1.17639995E11,2.78750331E11,3.58490807E12,1.21650024E8,5.266808E7,7.433426,5.0163264
16459279,4.1132749E10,1.47137446E11,3.29469657E12,1.2589304E8,7.280236E7,9.259651,0.14716542
16462661,7.7484499E10,1.65190779E11,3.7928475E12,1.28735536E8,7.588804E7,7.869686,0.66402304
16467494,6.8725563E10,2.71516156E11,3.14842756E12,9.3099504E7,2.8116596E7,6.019812,6.162687
16472250,8.5929148E10,2.68239618E11,4.17736294E12,1.22635368E8,3.8952388E7,7.333201,3.9381173
16475748,1.47474207E10,0.0,1.50564076E10,4.045372E7,3.7649E7,8.006592,0.0
16477549,6.6494669E10,3.03143748E11,3.92561164E12,1.15999064E8,5.1448072E7,6.4971957,4.93417
16481407,1.14684805E10,5.4931154E9,3.14895114E10,7236365.0,3818539.8,5.455429,4.296536
16482629,5.1970347E10,1.48218298E11,4.28630606E12,1.55684672E8,8.9854224E7,8.259322,1.9390043
16487719,4.6525489E10,1.23167859E11,3.03294002E12,1.24301512E8,6.5919324E7,8.094542,0.024765378
16490608,1.30821683E10,5.30210272E8,3.42816809E10,7324734.5,2409460.0,6.133843,0.38957337
16491889,3.9005614E10,1.38153918E11,1.98979197E12,3.0934408E7,1.0811926E7,5.6215076,4.557597
16494873,6.8377862E10,2.08351445E11,4.03287756E12,3.12258368E8,1.6445232E8,8.647528,2.2472517
16500250,7.0058476E10,2.59876635E11,3.45499448E12,1.0053088E8,5.0183012E7,6.53249,3.821664
16504439,4.8045756E10,1.24095332E11,4.5816076E12,3.95730784E8,3.30062912E8,9.35478,0.21350299
16510725,1.18570394E11,3.16811051E11,3.3022492E12,1.09772288E8,5.4220828E7,6.615234,5.623951
16515784,3.6458979E10,1.53185305E11,1.88206049E12,5.8358196E7,2.1956894E7,6.9829826,1.754279
16517497,7.0688719E10,2.50426622E11,3.29067318E12,1.41897216E8,6.364852E7,7.0420322,3.6268127
16521446,7.7403275E10,1.30496537E11,3.87938543E12,1.56173904E8,9.664796E7,8.358915,1.7970781
16525983,7.1874372E10,1.01493375E11,4.20386911E12,2.04068816E8,1.21987944E8,9.334584,0.06936955
16530723,8.5430444E10,2.44218266E11,3.54650607E12,2.26920784E8,7.9977544E7,6.43161,5.019495
16536187,7.1717847E10,2.17374065E11,3.12587688E12,1.19970968E8,7.1395944E7,6.9462557,1.0066915
16539731,3.7545935E10,1.00996055E11,2.45686049E12,1.18497128E8,6.185628E7,8.406854,1.979206
16543298,6.4325837E10,1.72440453E11,4.1138313E12,1.65928624E8,8.85984E7,8.1778345,0.16621439
16548503,3.14203955E10,1.17270438E11,2.0531586E12,5.9738252E7,3.5023976E7,7.5970583,1.8753896
16550703,3.9462728E10,1.11516262E11,3.48093835E12,1.53280736E8,1.02959488E8,8.478227,0.26113343
16555699,6.6910265E10,1.6036225E11,2.53317979E12,8.9783088E7,4.61618E7,7.3074527,2.7904613
16559175,3.8365745E10,2.47684956E11,2.45686049E12,6.3089648E7,7931801.5,5.1843324,3.4993963
16561331,5.9745759E10,1.28663634E11,3.64763519E12,1.59219968E8,1.02626056E8,7.606252,0.16818306
16565965,3.7393842E10,1.77414341E11,2.99191029E12,6.17387E7,3.2195596E7,7.959628,0.2137651
16568583,7.5714658E10,9.7935458E10,3.97167244E12,1.26929712E8,8.1062816E7,8.489714,0.023776993
16573399,6.8626514E10,1.87253572E11,3.16499637E12,1.0572172E8,6.0422956E7,7.369776,2.4640598
16578044,5.5637426E10,1.52028037E11,4.15233003E12,1.70116848E8,1.02224944E8,8.708805,0.054293264
16583347,6.4996413E10,1.37628615E11,4.02716701E12,1.92873408E8,1.175026E8,8.62992,0.36657584
16588426,5.5418409E10,3.14862666E11,3.35665771E12,1.2594036E8,5.7373396E7,6.3306594,2.7209544
16592339,2.00758784E10,3.63338163E9,4.5411598E10,9057808.0,2922815.2,4.7625036,2.2721057
